DATE,PRICE,PE_RATIO,PX_TO_BOOK_RATIO,EPS_GROWTH,TOT_DEBT_TO_TOT_EQY,PX_TO_FREE_CASH_FLOW,Return_COM_EQY,Return_ON_ASSET,CUR_MKT_CAP,BETA_MINUS
1/3/11,29.67,12.1929,1.5709,-60.8696,59.1041,11.3384,18.6332,7.3885,175349.7,0.6387
2/1/11,27.87,11.4532,1.4756,-60.8696,59.1041,10.6506,18.6332,7.3885,164711.7,0.625
3/1/11,28.08,11.5395,1.4867,-60.8696,59.1041,10.7308,18.6332,7.3885,165952.8,0.5903
4/1/11,30.62,12.6808,1.6102,35.7143,57.627,12.0953,19.4056,7.8005,181008.0966,0.6279
5/2/11,31.21,12.9252,1.6412,35.7143,57.627,12.3284,19.4056,7.8005,184495.8425,0.6047
6/1/11,31.17,12.9086,1.6391,35.7143,57.627,12.3126,19.4056,7.8005,184588.74,0.5825
7/1/11,31.68,14.0768,1.6494,-11.7647,58.3416,12.6208,18.8214,7.5642,187608.96,0.5995
8/1/11,29.52,13.1171,1.5369,-11.7647,58.3416,11.7603,18.8214,7.5642,174817.44,0.5795
9/1/11,28.27,12.5616,1.4718,-11.7647,58.3416,11.2623,18.8214,7.5642,167528.02,0.5846
10/3/11,28.16,12.104,1.4687,-68.7179,62.5437,10.5603,10.3359,4.2826,166876.16,0.5826
11/1/11,28.7,12.3361,1.4969,-68.7179,62.5437,10.7628,10.3359,4.2826,170076.2,0.5957
12/1/11,28.84,12.3963,1.5042,-68.7179,62.5437,10.8153,10.3359,4.2826,170905.84,0.5963
1/3/12,30.38,13.8676,1.6067,-68.7179,61.2049,12.3153,3.632,1.4612,180031.88,0.5926
2/1/12,29.6,13.5116,1.5655,-68.7179,61.2049,11.9991,3.632,1.4612,175439.2,0.6056
3/1/12,30.63,13.9817,1.6199,-68.7179,61.2049,12.4166,3.632,1.4612,181597.6574,0.6078
4/2/12,31.45,14.1635,1.7613,5.2632,62.4687,12.7584,3.7895,1.5332,186459.2336,0.6063
5/1/12,33.06,14.8886,1.8515,5.2632,62.4687,13.4115,3.7895,1.5332,194227.5,0.6185
6/1/12,33.9,15.2669,1.8985,5.2632,62.4687,13.7523,3.7895,1.5332,198755.7,0.606
7/2/12,36.2,15.8904,2.0346,11.6667,62.3041,13.4764,4.0823,1.6463,212240.6,0.6019
8/1/12,37.64,16.5225,2.1155,11.6667,62.3041,14.0125,4.0823,1.6463,218500.2,0.6082
9/4/12,36.81,16.1582,2.0689,11.6667,62.3041,13.7035,4.0823,1.6463,212356.89,0.5992
10/1/12,37.75,16.4246,2.134,3.2787,62.9451,12.8705,4.1413,1.6319,217779.75,0.5952
11/1/12,35.09,15.2672,1.9836,3.2787,62.9451,11.9636,4.1413,1.6319,200258.63,0.5987
12/3/12,34.14,14.8539,1.9299,3.2787,62.9451,11.6397,4.1413,1.6319,193915.2,0.6155
1/2/13,35,15.2057,2.115,39.2857,75.3482,10.2838,7.3412,2.6767,198800,0.6125
2/1/13,35.51,15.4273,2.1459,39.2857,75.3482,10.4337,7.3412,2.6767,201696.8,0.6165
3/1/13,36.01,15.6445,2.1761,39.2857,75.3482,10.5806,7.3412,2.6767,197752.8536,0.6152
4/1/13,37.25,15.8813,2.2955,11.6667,83.9186,10.6012,7.6518,2.7316,204562.4492,0.6003
5/1/13,37.56,16.0134,2.3146,11.6667,83.9186,10.6895,7.6518,2.7316,203687.88,0.5931
