TICKER,RETURN,PE,PB,EPS,DE,FCF,ROE,ROA,MC,BETA
012330:KS,-0.04,9.05,1.99,15.97,17.11,18.94,24.07,13.7,2.23E+13,1.16
GM:US,-0.23,5.62,1.45,-66.32,35.44,19.99,20.21,4.82,50870078075,1.44
035250:KS,-0.03,13.43,2.26,-8.75,0,19.49,17.87,13.21,9.09E+12,0.68
4204:JP,0.03,14.4,1.11,24.71,35.01,9.95,8.12,3.48,6.75E+11,0.83
TFI:FP,-0.31,10.68,1.23,-22.73,1.44,21.81,10.76,5.12,2660396063,1.15
CTC/A:CN,0.07,11.1,1.19,20.83,81.82,4.47,11.36,4.08,9208030272,0.55
TRI:CN,0,21.8,1.46,16.67,44.6,15.5,-7.46,-3.99,42008515870,0.71
PSON:LN,0.09,10.52,1.6,#N/A N/A,#N/A N/A,11.04,#N/A N/A,#N/A N/A,9852446340,0.83
HAS:US,-0.08,13.17,3.33,#N/A N/A,112.5,16.15,24.97,9.33,9095416799,0.83
KER:FP,-0.13,16.56,1.48,#N/A N/A,#N/A N/A,21.29,#N/A N/A,#N/A N/A,19440701622,0.86
KGF:LN,-0.06,11.18,1.27,#N/A N/A,#N/A N/A,30.89,#N/A N/A,#N/A N/A,8405512283,1
SPLS:US,-0.19,11.81,1.61,#N/A N/A,#N/A N/A,9.38,#N/A N/A,#N/A N/A,7954473189,1.05
VOW:GR,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657,1.06
SBUX:US,-0.05,35.45,8.81,17.14,10.7,43.85,28.13,17.69,86647596000,1.07
DIS:US,0.11,16.49,2.16,28,40.16,17.56,13.48,7.09,1.75E+11,1.13
PSN:LN,-0.05,17.73,1.05,#N/A N/A,#N/A N/A,16.36,#N/A N/A,#N/A N/A,6801799196,1.15
WPP:LN,-0.1,12.64,1.62,#N/A N/A,#N/A N/A,23.54,#N/A N/A,#N/A N/A,18313025110,1.15
WHR:US,-0.2,7.32,1.4,-46.15,55.83,#N/A N/A,7.1,2.04,12086563257,1.26
BMW:GR,-0.16,9.05,1.63,18.5,235.03,22.63,19.15,4.37,52812081235,1.27
BRBY:LN,-0.11,26.31,8.74,11.63,23.4,45.89,33.31,17.7,6384448168,1.29
JCI:US,-0.15,13.17,1.98,7.69,52.42,#N/A N/A,12.35,4.67,28095944850,1.36
ODP:S ,-0.37,#N/A N/A,1.33,#N/A N/A,57.1,14.1,15.19,3.49,3604007863,2.19
9783:JP,-0.14,24.8,2.12,11.81,23.32,12.28,8.7,3.91,3.25E+11,0.48
SKY:LN,0.03,13.96,10.6,#N/A N/A,#N/A N/A,10.15,#N/A N/A,#N/A N/A,18376294189,0.57
023530:KS,-0.12,11.06,0.74,-4.27,65.68,#N/A N/A,6.64,2.94,8.50E+12,0.63
