,ACN US Equity,AMD US Equity,AKAM US Equity,ADSK US Equity,CA US Equity,GIB US Equity,CSCO US Equity,EMC US Equity,HPQ US Equity,INTC US Equity,IBM US Equity,MSFT US Equity,MSI US Equity,NVDA US Equity,RAX US Equity,SYMC US Equity,TEL US Equity,TDC US Equity,TXN US Equity,XRX US Equity
12/31/12,$66.50 ,$2.40 ,$40.91 ,$35.35 ,$21.98 ,$23.13 ,$19.65 ,$25.30 ,$6.47 ,$20.62 ,$191.55 ,$26.71 ,$55.68 ,$12.26 ,$74.27 ,$18.82 ,$37.12 ,$61.89 ,$30.89 ,$6.82 
1/2/13,$69.06 ,$2.53 ,$42.16 ,$36.94 ,$22.74 ,$23.36 ,$20.34 ,$24.84 ,$6.82 ,$21.38 ,$196.35 ,$27.62 ,$56.20 ,$12.72 ,$77.06 ,$19.50 ,$38.06 ,$63.71 ,$32.31 ,$7.19 
1/3/13,$68.81 ,$2.49 ,$40.95 ,$36.37 ,$22.65 ,$23.20 ,$20.45 ,$24.37 ,$6.87 ,$21.32 ,$195.27 ,$27.25 ,$56.01 ,$12.73 ,$75.38 ,$19.41 ,$37.84 ,$62.29 ,$31.89 ,$7.19 
1/4/13,$69.19 ,$2.59 ,$40.43 ,$36.36 ,$23.05 ,$23.34 ,$20.48 ,$24.33 ,$6.87 ,$21.16 ,$193.99 ,$26.74 ,$56.28 ,$13.15 ,$76.31 ,$19.62 ,$37.64 ,$62.83 ,$31.82 ,$7.11 
1/7/13,$68.89 ,$2.67 ,$40.77 ,$36.09 ,$22.82 ,$23.07 ,$20.29 ,$24.13 ,$6.89 ,$21.25 ,$193.14 ,$26.69 ,$56.58 ,$12.77 ,$75.76 ,$19.65 ,$37.19 ,$63.85 ,$31.92 ,$7.23 
1/8/13,$69.29 ,$2.67 ,$40.14 ,$36.30 ,$22.83 ,$24.11 ,$20.31 ,$23.87 ,$6.99 ,$21.09 ,$192.87 ,$26.55 ,$55.94 ,$12.49 ,$77.52 ,$19.42 ,$36.88 ,$63.74 ,$31.55 ,$7.22 
1/9/13,$69.78 ,$2.63 ,$39.70 ,$36.67 ,$23.06 ,$23.84 ,$20.30 ,$24.02 ,$7.20 ,$21.45 ,$192.32 ,$26.70 ,$56.25 ,$12.21 ,$77.75 ,$19.52 ,$37.11 ,$63.81 ,$32.00 ,$7.22 
1/10/13,$69.17 ,$2.62 ,$39.50 ,$36.52 ,$23.11 ,$24.08 ,$20.44 ,$23.85 ,$7.39 ,$21.80 ,$192.88 ,$26.46 ,$56.78 ,$12.23 ,$77.78 ,$19.94 ,$37.20 ,$64.66 ,$32.43 ,$7.29 
1/11/13,$69.88 ,$2.67 ,$39.59 ,$36.80 ,$23.34 ,$24.64 ,$20.48 ,$24.15 ,$7.34 ,$22.00 ,$194.45 ,$26.83 ,$57.50 ,$12.21 ,$77.83 ,$19.94 ,$37.90 ,$65.34 ,$32.42 ,$7.26 
1/14/13,$69.86 ,$2.64 ,$40.00 ,$36.83 ,$23.56 ,$24.97 ,$20.97 ,$24.21 ,$7.70 ,$22.00 ,$192.62 ,$26.89 ,$57.67 ,$12.20 ,$77.65 ,$19.91 ,$37.82 ,$66.03 ,$32.34 ,$7.40 
1/15/13,$70.25 ,$2.68 ,$39.66 ,$36.71 ,$23.62 ,$24.65 ,$20.98 ,$24.32 ,$7.50 ,$21.88 ,$192.50 ,$27.21 ,$57.53 ,$11.98 ,$77.58 ,$20.85 ,$38.01 ,$66.05 ,$32.28 ,$7.42 
1/16/13,$69.89 ,$2.72 ,$39.37 ,$36.73 ,$24.09 ,$24.48 ,$21.03 ,$24.08 ,$7.81 ,$22.11 ,$192.59 ,$27.04 ,$57.95 ,$12.09 ,$76.73 ,$20.71 ,$38.00 ,$65.11 ,$32.51 ,$7.58 
1/17/13,$69.89 ,$2.74 ,$39.75 ,$37.33 ,$24.22 ,$25.18 ,$20.95 ,$24.03 ,$7.77 ,$22.68 ,$193.65 ,$27.25 ,$58.04 ,$12.25 ,$77.33 ,$20.85 ,$38.54 ,$66.31 ,$33.15 ,$7.58 
1/18/13,$70.11 ,$2.46 ,$39.96 ,$37.50 ,$24.57 ,$24.63 ,$21.02 ,$24.33 ,$7.77 ,$21.25 ,$194.47 ,$27.25 ,$59.01 ,$12.17 ,$77.78 ,$20.68 ,$38.72 ,$65.61 ,$33.52 ,$7.64 
1/22/13,$70.46 ,$2.45 ,$39.93 ,$36.55 ,$24.55 ,$24.14 ,$20.87 ,$24.28 ,$7.83 ,$21.17 ,$196.08 ,$27.15 ,$58.29 ,$12.11 ,$76.56 ,$20.86 ,$39.06 ,$65.57 ,$33.46 ,$7.53 
1/23/13,$71.25 ,$2.73 ,$40.06 ,$36.86 ,$25.07 ,$24.29 ,$20.62 ,$24.53 ,$7.72 ,$21.11 ,$204.72 ,$27.61 ,$58.54 ,$12.13 ,$77.13 ,$21.46 ,$39.39 ,$66.08 ,$33.08 ,$7.58 
1/24/13,$71.34 ,$2.79 ,$40.55 ,$37.60 ,$24.90 ,$24.35 ,$21.02 ,$25.04 ,$7.72 ,$20.95 ,$204.42 ,$27.63 ,$58.80 ,$12.19 ,$79.24 ,$21.71 ,$39.30 ,$66.50 ,$33.09 ,$7.75 
1/25/13,$72.21 ,$2.85 ,$41.15 ,$38.99 ,$25.05 ,$24.76 ,$21.15 ,$25.26 ,$7.71 ,$20.96 ,$204.97 ,$27.88 ,$58.60 ,$12.41 ,$78.93 ,$22.13 ,$39.47 ,$69.34 ,$32.80 ,$7.93 
1/28/13,$72.10 ,$2.82 ,$40.69 ,$38.86 ,$25.08 ,$24.31 ,$21.06 ,$25.20 ,$7.73 ,$21.05 ,$204.93 ,$27.91 ,$59.01 ,$12.61 ,$78.40 ,$21.89 ,$39.14 ,$68.11 ,$33.04 ,$8.23 
1/29/13,$71.70 ,$2.74 ,$40.18 ,$38.86 ,$25.03 ,$24.26 ,$20.78 ,$24.18 ,$7.48 ,$21.28 ,$203.90 ,$28.01 ,$58.94 ,$12.34 ,$74.86 ,$21.91 ,$38.95 ,$66.14 ,$32.67 ,$8.14 
1/30/13,$72.34 ,$2.65 ,$40.40 ,$38.73 ,$24.86 ,$26.27 ,$20.58 ,$24.60 ,$7.45 ,$21.37 ,$203.52 ,$27.85 ,$58.69 ,$12.32 ,$74.36 ,$21.98 ,$38.93 ,$66.60 ,$32.82 ,$8.16 
1/31/13,$71.89 ,$2.60 ,$40.71 ,$38.88 ,$24.82 ,$26.83 ,$20.57 ,$24.61 ,$7.50 ,$21.04 ,$203.07 ,$27.45 ,$58.39 ,$12.26 ,$75.35 ,$21.77 ,$38.88 ,$66.66 ,$33.08 ,$8.01 
2/1/13,$73.80 ,$2.60 ,$41.81 ,$38.94 ,$25.03 ,$26.68 ,$20.83 ,$24.85 ,$7.47 ,$21.36 ,$205.18 ,$27.93 ,$58.87 ,$12.37 ,$76.31 ,$22.12 ,$39.37 ,$66.42 ,$33.72 ,$8.02 
